Quarter,Time,Down,ToGo,Location,ARI,HOU,Detail,EPB,EPA,week,year,game_id
3.0,8:39,1.0,10.0,ARI 49,10.0,21.0,Kyler Murray right end for 4 yards (tackle by Derek Stingley),2.19,2.19,11.0,2023,158
3.0,8:05,2.0,6.0,HOU 47,10.0,21.0,Kyler Murray pass complete short middle to Geoff Swaim for 8 yards (tackle by Blake Cashman and Derek Stingley),2.19,2.98,11.0,2023,158
3.0,7:25,1.0,10.0,HOU 39,10.0,21.0,James Conner left end for no gain (tackle by Blake Cashman and Steven Nelson),2.98,2.44,11.0,2023,158
3.0,6:51,2.0,10.0,HOU 39,10.0,21.0,Kyler Murray pass complete short left to Trey McBride for 11 yards (tackle by Jalen Pitre),2.44,3.71,11.0,2023,158
3.0,6:12,1.0,10.0,HOU 28,10.0,21.0,James Conner up the middle for 2 yards (tackle by Tavierre Thomas and Dylan Horton),3.71,3.44,11.0,2023,158
3.0,5:30,2.0,8.0,HOU 26,10.0,21.0,James Conner left guard for 2 yards (tackle by Dylan Horton and Blake Cashman),3.44,3.01,11.0,2023,158
3.0,4:55,3.0,6.0,HOU 24,10.0,21.0,"Kyler Murray scrambles right end for 6 yards (tackle by Christian Harris). Penalty on Will Anderson: Face Mask (15 Yards), 9 yards (accepted)",3.01,5.14,11.0,2023,158
3.0,4:26,1.0,9.0,HOU 9,10.0,21.0,James Conner right tackle for -1 yards (tackle by Jonathan Greenard),5.14,4.19,11.0,2023,158
3.0,3:46,2.0,10.0,HOU 10,10.0,21.0,Kyler Murray pass incomplete short right intended for Greg Dortch (defended by Christian Harris),4.19,3.13,11.0,2023,158
3.0,3:41,3.0,10.0,HOU 10,10.0,21.0,Kyler Murray scrambles right end for 9 yards (tackle by Christian Harris),3.13,3.55,11.0,2023,158
3.0,2:57,,,,,,Timeout #1 by Arizona Cardinals,,,11.0,2023,158
3.0,2:57,4.0,1.0,HOU 1,16.0,21.0,"Kyler Murray right end for 1 yard, touchdown",3.55,7.0,11.0,2023,158
3.0,2:52,,,HOU 2,16.0,21.0,"Two Point Attempt: Kyler Murray rushes, conversion fails.",1.0,-1.0,11.0,2023,158
3.0,2:52,,,ARI 35,16.0,21.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,158
