Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA,week,year,game_id
2.0,0:54,,,NWE 15,3.0,28.0,Brandon Aubrey kicks extra point good,0.0,0.0,4.0,2023,62
2.0,0:54,,,DAL 35,3.0,28.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,62
2.0,0:54,1.0,10.0,NWE 25,3.0,28.0,Mac Jones pass complete short right to Ezekiel Elliott for 2 yards (tackle by Osa Odighizuwa and Damone Clark),0.61,0.33,4.0,2023,62
2.0,0:33,2.0,8.0,NWE 27,3.0,28.0,Mac Jones pass incomplete short left intended for Hunter Henry,0.33,-0.36,4.0,2023,62
2.0,0:30,3.0,8.0,NWE 27,3.0,28.0,Mac Jones pass incomplete short right intended for Ezekiel Elliott (defended by Jayron Kearse),-0.36,-1.57,4.0,2023,62
2.0,0:23,4.0,8.0,NWE 27,3.0,28.0,"Bryce Baringer punts 44 yards, fair catch by KaVontae Turpin at DAL-29",-1.57,-0.87,4.0,2023,62
2.0,0:16,1.0,10.0,DAL 29,3.0,28.0,Dak Prescott pass complete short left to Jake Ferguson for 12 yards (tackle by Kyle Dugger),0.87,1.66,4.0,2023,62
2.0,0:10,,,,,,Timeout #1 by Dallas Cowboys,,,4.0,2023,62
2.0,0:10,1.0,10.0,DAL 41,3.0,28.0,Dak Prescott pass complete short middle to Jake Ferguson for 11 yards (tackle by Kyle Dugger),1.66,2.39,4.0,2023,62
2.0,0:03,,,,,,Timeout #2 by Dallas Cowboys,,,4.0,2023,62
2.0,0:03,,,,,,Timeout #2 by New England Patriots,,,4.0,2023,62
2.0,0:03,1.0,10.0,NWE 48,3.0,28.0,"Penalty on Chuma Edoga: False Start, 5 yards (accepted) (no play)",2.39,2.13,4.0,2023,62
2.0,0:03,1.0,15.0,DAL 48,3.0,28.0,"Penalty on Dak Prescott: Delay of Game, 5 yards (accepted) (no play)",2.13,1.73,4.0,2023,62
2.0,0:03,1.0,20.0,DAL 42,3.0,28.0,Dak Prescott kneels for -1 yards,1.73,0.36,4.0,2023,62
3.0,15:00,,,DAL 35,3.0,28.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,62
3.0,15:00,1.0,10.0,NWE 25,3.0,28.0,Rhamondre Stevenson left guard for 8 yards (tackle by Stephon Gilmore),0.61,1.14,4.0,2023,62
3.0,14:31,2.0,2.0,NWE 33,3.0,28.0,Rhamondre Stevenson left end for -2 yards (tackle by Damone Clark),1.14,0.17,4.0,2023,62
3.0,13:58,3.0,4.0,NWE 31,3.0,28.0,Mac Jones pass complete deep right to Hunter Henry for 21 yards (tackle by Jayron Kearse). Penalty on Jayron Kearse: Illegal Contact (declined),0.17,2.39,4.0,2023,62
3.0,13:47,1.0,10.0,DAL 48,3.0,28.0,Mac Jones pass complete short right to Demario Douglas for 3 yards (tackle by Markquese Bell),2.39,2.25,4.0,2023,62
3.0,13:09,2.0,7.0,DAL 45,3.0,28.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Jourdan Lewis),2.25,1.69,4.0,2023,62
3.0,12:32,3.0,6.0,DAL 44,3.0,28.0,Mac Jones scrambles up the middle for 4 yards (tackle by Donovan Wilson),1.69,0.59,4.0,2023,62
3.0,11:49,,,,,,Timeout #1 by Dallas Cowboys,,,4.0,2023,62
3.0,11:49,4.0,2.0,DAL 40,3.0,28.0,Mac Jones pass short right intended for JuJu Smith-Schuster is intercepted by DaRon Bland at DAL-38 and returned for 10 yards (tackle by JuJu Smith-Schuster),0.59,-2.13,4.0,2023,62
3.0,11:43,1.0,10.0,DAL 48,3.0,28.0,"Dak Prescott pass incomplete deep right intended for CeeDee Lamb. Penalty on Chuma Edoga: Illegal Formation, 5 yards (declined)",2.13,1.58,4.0,2023,62
3.0,11:37,2.0,10.0,DAL 48,3.0,28.0,Dak Prescott pass complete short left to Brandin Cooks for 7 yards. Brandin Cooks fumbles (forced by Myles Bryant),1.58,1.82,4.0,2023,62
3.0,11:10,3.0,3.0,NWE 45,3.0,28.0,Tony Pollard up the middle for 8 yards (tackle by Ja'Whaun Bentley and Josh Uche),1.82,3.12,4.0,2023,62
3.0,10:47,1.0,10.0,NWE 37,3.0,28.0,Dak Prescott pass complete short right to Jake Ferguson for 4 yards (tackle by Kyle Dugger),3.12,3.11,4.0,2023,62
3.0,10:17,2.0,6.0,NWE 33,3.0,28.0,Dak Prescott pass incomplete short right intended for Luke Schoonmaker (defended by Jahlani Tavai),3.11,2.41,4.0,2023,62
3.0,10:17,3.0,6.0,NWE 33,3.0,28.0,Dak Prescott pass complete short right to Michael Gallup for 19 yards (tackle by Shaun Wade),2.41,4.65,4.0,2023,62
3.0,9:43,1.0,10.0,NWE 14,3.0,28.0,Tony Pollard left guard for 5 yards (tackle by Deatrich Wise),4.65,4.9,4.0,2023,62
3.0,9:09,2.0,5.0,NWE 9,3.0,28.0,Dak Prescott pass complete short right to Tony Pollard for 3 yards (tackle by Ja'Whaun Bentley),4.9,4.73,4.0,2023,62
3.0,8:27,3.0,2.0,NWE 6,3.0,28.0,Dak Prescott sacked by Jahlani Tavai for -9 yards,4.73,2.44,4.0,2023,62
3.0,7:45,4.0,11.0,NWE 15,3.0,31.0,Brandon Aubrey 33 yard field goal good,2.44,3.0,4.0,2023,62
3.0,7:42,,,DAL 35,3.0,31.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,62
3.0,7:42,1.0,10.0,NWE 25,3.0,31.0,Mac Jones pass complete short left to Ezekiel Elliott for 4 yards (tackle by Donovan Wilson),0.61,0.6,4.0,2023,62
3.0,7:02,2.0,6.0,NWE 29,3.0,31.0,Ezekiel Elliott right guard for no gain (tackle by Neville Gallimore),0.6,-0.1,4.0,2023,62
3.0,6:24,3.0,6.0,NWE 29,3.0,31.0,Mac Jones pass incomplete short left intended for DeVante Parker,-0.1,-1.44,4.0,2023,62
3.0,6:19,4.0,6.0,NWE 29,3.0,31.0,"Bryce Baringer punts 46 yards, returned by KaVontae Turpin for 12 yards (tackle by Brenden Schooler). Penalty on Joe Cardona: Offensive Holding, 10 yards (accepted)",-1.44,-2.06,4.0,2023,62
3.0,6:08,1.0,10.0,DAL 47,3.0,31.0,Dak Prescott pass complete short left to Brandin Cooks for 5 yards (tackle by Myles Bryant),2.06,2.19,4.0,2023,62
3.0,5:36,2.0,5.0,NWE 48,3.0,31.0,"Tony Pollard right tackle for 4 yards (tackle by Christian Barmore and Jalen Mills). Penalty on Christian Barmore: Face Mask (15 Yards), 15 yards (accepted)",2.19,3.64,4.0,2023,62
3.0,5:09,1.0,10.0,NWE 29,3.0,31.0,Dak Prescott pass complete short left to Michael Gallup for 3 yards (tackle by Shaun Wade and Myles Bryant),3.64,3.51,4.0,2023,62
