Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA,week,year,game_id
3.0,8:30,1.0,10.0,MIN 47,10.0,14.0,Kirk Cousins pass incomplete short middle intended for Drake London (defended by Harrison Phillips),2.46,1.91,14.0,2024,197
3.0,8:28,2.0,10.0,MIN 47,10.0,14.0,Bijan Robinson right end for 7 yards (tackle by Andrew Van Ginkel),1.91,2.15,14.0,2024,197
3.0,7:48,3.0,3.0,MIN 40,10.0,14.0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 27 yards (tackle by Shaquill Griffin),2.15,4.71,14.0,2024,197
3.0,7:04,1.0,10.0,MIN 13,10.0,14.0,"Bijan Robinson left tackle for 2 yards (tackle by Camryn Bynum). Penalty on Drew Dalman: Offensive Holding, 10 yards (accepted)",4.71,4.17,14.0,2024,197
3.0,6:37,1.0,18.0,MIN 21,10.0,14.0,Bijan Robinson left end for 4 yards (tackle by Gabriel Murphy),4.17,3.5,14.0,2024,197
3.0,5:58,2.0,14.0,MIN 17,10.0,14.0,Kirk Cousins pass incomplete short right intended for Ray-Ray McCloud (defended by Andrew Van Ginkel),3.5,2.88,14.0,2024,197
3.0,5:52,3.0,14.0,MIN 17,10.0,14.0,Bijan Robinson left guard for 6 yards (tackle by Jonathan Greenard and Blake Cashman),2.88,2.7,14.0,2024,197
3.0,5:09,4.0,8.0,MIN 11,13.0,14.0,Younghoe Koo 29 yard field goal good,2.7,3.0,14.0,2024,197
3.0,5:06,,,ATL 35,13.0,14.0,"Bradley Pinion kicks off 62 yards, returned by Ty Chandler for 22 yards (tackle by Antonio Hamilton)",0.0,0.61,14.0,2024,197
3.0,5:01,1.0,10.0,MIN 25,13.0,14.0,Sam Darnold pass complete short left to Justin Jefferson for 21 yards (tackle by Justin Simmons),0.61,1.99,14.0,2024,197
3.0,4:25,1.0,10.0,MIN 46,13.0,14.0,Aaron Jones up the middle for 2 yards (tackle by Eddie Goldman),1.99,1.72,14.0,2024,197
3.0,3:42,2.0,8.0,MIN 48,13.0,14.0,Sam Darnold pass incomplete deep left intended for Jordan Addison,1.72,1.03,14.0,2024,197
3.0,3:36,3.0,8.0,MIN 48,13.0,20.0,"Sam Darnold pass complete deep right to Justin Jefferson for 52 yards, touchdown",1.03,7.0,14.0,2024,197
3.0,3:25,,,ATL 15,13.0,21.0,Will Reichard kicks extra point good,0.0,0.0,14.0,2024,197
3.0,3:25,,,MIN 35,13.0,21.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,197
3.0,3:25,1.0,10.0,ATL 30,13.0,21.0,Tyler Allgeier left end for 25 yards (tackle by Byron Murphy),0.94,2.59,14.0,2024,197
3.0,2:38,1.0,10.0,MIN 45,13.0,21.0,Tyler Allgeier up the middle for 5 yards (tackle by Harrison Phillips),2.59,2.72,14.0,2024,197
3.0,2:05,2.0,5.0,MIN 40,13.0,21.0,Kirk Cousins pass complete short left to Drake London for 11 yards (tackle by Fabian Moreau),2.72,3.64,14.0,2024,197
3.0,1:24,1.0,10.0,MIN 29,13.0,21.0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 16 yards (tackle by Jalen Redmond),3.64,4.71,14.0,2024,197
3.0,0:43,1.0,10.0,MIN 13,19.0,21.0,"Bijan Robinson right end for 13 yards, touchdown",4.71,7.0,14.0,2024,197
3.0,0:39,,,MIN 2,21.0,21.0,"Two Point Attempt: Bijan Robinson rushes, conversion succeeds.",1.0,1.0,14.0,2024,197
3.0,0:39,,,ATL 35,21.0,21.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,197
3.0,0:39,1.0,10.0,MIN 30,21.0,21.0,"Penalty on Blake Brandel: False Start, 5 yards (accepted) (no play)",0.94,0.61,14.0,2024,197
3.0,0:39,1.0,15.0,MIN 25,21.0,21.0,Cam Akers right guard for -2 yards (tackle by Grady Jarrett),0.61,-0.55,14.0,2024,197
3.0,0:13,2.0,17.0,MIN 23,21.0,21.0,"Penalty on Grady Jarrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.55,0.12,14.0,2024,197
4.0,15:00,2.0,12.0,MIN 28,21.0,21.0,Sam Darnold pass complete short left to T.J. Hockenson for 14 yards (tackle by Matt Judon),0.12,1.73,14.0,2024,197
4.0,14:35,1.0,10.0,MIN 42,21.0,21.0,Sam Darnold pass complete deep right to Jordan Addison for 42 yards (tackle by Clark Phillips),1.73,4.51,14.0,2024,197
4.0,13:49,1.0,10.0,ATL 16,21.0,21.0,Sam Darnold pass incomplete deep middle intended for T.J. Hockenson,4.51,3.9,14.0,2024,197
4.0,13:43,2.0,10.0,ATL 16,21.0,21.0,Sam Darnold pass complete short left to Justin Jefferson for 5 yards (tackle by Justin Simmons),3.9,3.94,14.0,2024,197
4.0,13:04,3.0,5.0,ATL 11,21.0,27.0,"Sam Darnold pass complete short right to Jordan Addison for 11 yards, touchdown",3.94,7.0,14.0,2024,197
4.0,12:59,,,ATL 15,21.0,28.0,Will Reichard kicks extra point good,0.0,0.0,14.0,2024,197
4.0,12:59,,,MIN 35,21.0,28.0,"Will Reichard kicks off 65 yards, returned by Ray-Ray McCloud for 31 yards. Ray-Ray McCloud fumbles (forced by Brian Asamoah), recovered by C.J. Ham at ATL-32 (tackle by Brian Asamoah)",0.0,-3.45,14.0,2024,197
4.0,12:53,1.0,10.0,ATL 32,21.0,28.0,Aaron Jones right end for 7 yards (tackle by Zach Harrison and Jessie Bates),3.45,3.85,14.0,2024,197
4.0,12:15,2.0,3.0,ATL 25,21.0,28.0,Sam Darnold pass complete short left to Justin Jefferson for 7 yards (tackle by Kaden Elliss),3.85,4.37,14.0,2024,197
4.0,11:30,1.0,10.0,ATL 18,21.0,28.0,Sam Darnold pass complete short left to Aaron Jones for 5 yards (tackle by Kaden Elliss),4.37,4.61,14.0,2024,197
4.0,10:51,2.0,5.0,ATL 13,21.0,28.0,Sam Darnold pass complete short right to T.J. Hockenson for 3 yards (tackle by Jessie Bates),4.61,4.51,14.0,2024,197
4.0,10:05,3.0,2.0,ATL 10,21.0,28.0,Sam Darnold pass complete short left to Jordan Addison for 9 yards (tackle by DeAundre Alford),4.51,6.97,14.0,2024,197
4.0,9:36,1.0,1.0,ATL 1,21.0,28.0,Sam Darnold up the middle for no gain (tackle by Lorenzo Carter),6.97,5.91,14.0,2024,197
4.0,8:58,2.0,1.0,ATL 1,21.0,28.0,"Aaron Jones right guard for no gain (tackle by Troy Andersen). Penalty on Sam Darnold: Illegal Shift, 5 yards (accepted) (no play)",5.91,4.95,14.0,2024,197
4.0,8:28,2.0,6.0,ATL 6,21.0,34.0,"Sam Darnold pass complete short right to Jordan Addison for 6 yards, touchdown",4.95,7.0,14.0,2024,197
4.0,8:23,,,ATL 15,21.0,35.0,Will Reichard kicks extra point good,0.0,0.0,14.0,2024,197
4.0,8:23,,,MIN 35,21.0,35.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,197
4.0,8:23,1.0,10.0,ATL 30,21.0,35.0,Kirk Cousins pass complete short middle to Darnell Mooney for 18 yards (tackle by Camryn Bynum and Harrison Smith),0.94,2.13,14.0,2024,197
4.0,8:04,1.0,10.0,ATL 48,21.0,35.0,Kirk Cousins pass incomplete short left intended for Darnell Mooney (defended by Blake Cashman),2.13,1.58,14.0,2024,197
4.0,7:59,2.0,10.0,ATL 48,21.0,35.0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 9 yards (tackle by Blake Cashman),1.58,2.08,14.0,2024,197
4.0,7:35,3.0,1.0,MIN 43,21.0,35.0,Tyler Allgeier left guard for 4 yards (tackle by Blake Cashman),2.08,2.98,14.0,2024,197
4.0,7:12,1.0,10.0,MIN 39,21.0,35.0,Kirk Cousins pass complete short right to Kyle Pitts for 14 yards (tackle by Kamu Grugier-Hill),2.98,3.91,14.0,2024,197
4.0,6:35,1.0,10.0,MIN 25,21.0,35.0,Kirk Cousins pass deep right intended for Kyle Pitts is intercepted by Byron Murphy at MIN-2 and returned for no gain,3.91,0.38,14.0,2024,197
