Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA,week,year,game_id
2.0,0:07,1.0,10.0,KAN 32,7.0,20.0,Trevor Lawrence pass complete short right to Zay Jones for 9 yards (tackle by Jaylen Watson),3.45,4.12,10.0,2022,144
2.0,0:03,2.0,1.0,KAN 23,7.0,20.0,Riley Patterson 41 yard field goal no good,4.12,0.94,10.0,2022,144
3.0,15:00,,,KAN 35,7.0,20.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,144
3.0,15:00,1.0,10.0,JAX 25,7.0,20.0,Travis Etienne up the middle for 10 yards (tackle by Nick Bolton),0.61,1.27,10.0,2022,144
3.0,14:25,1.0,10.0,JAX 35,7.0,20.0,Trevor Lawrence pass complete short right to Zay Jones for 5 yards (tackle by Justin Reid and L'Jarius Sneed),1.27,1.4,10.0,2022,144
3.0,13:45,2.0,5.0,JAX 40,7.0,20.0,Trevor Lawrence pass complete short left to Jamal Agnew for -2 yards (tackle by Trent McDuffie),1.4,0.43,10.0,2022,144
3.0,13:05,3.0,7.0,JAX 38,7.0,20.0,Trevor Lawrence pass complete short middle to Zay Jones for 14 yards (tackle by Bryan Cook),0.43,2.39,10.0,2022,144
3.0,12:33,1.0,10.0,KAN 48,7.0,20.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk (defended by Willie Gay),2.39,1.85,10.0,2022,144
3.0,12:28,2.0,10.0,KAN 48,7.0,20.0,Trevor Lawrence pass complete short middle to Christian Kirk for 8 yards (tackle by Justin Reid),1.85,2.21,10.0,2022,144
3.0,11:43,3.0,2.0,KAN 40,7.0,20.0,Trevor Lawrence sacked by Willie Gay for no gain,2.21,0.59,10.0,2022,144
3.0,11:00,4.0,2.0,KAN 40,7.0,20.0,Trevor Lawrence pass complete short right to Zay Jones for 8 yards (tackle by Joshua Williams),0.59,3.45,10.0,2022,144
3.0,10:26,1.0,10.0,KAN 32,7.0,20.0,Travis Etienne left end for 9 yards (tackle by Khalen Saunders and Trent McDuffie),3.45,4.12,10.0,2022,144
