Quarter,Time,Down,ToGo,Location,SEA,TEN,Detail,EPB,EPA,week,year,game_id
3.0,3:55,3.0,8.0,SEA 42,6.0,10.0,Ryan Tannehill pass incomplete short right intended for Treylon Burks (defended by Riq Woolen),1.69,0.46,16.0,2023,233
3.0,3:50,4.0,8.0,SEA 42,6.0,10.0,"Ty Zentner punts 34 yards, fair catch by DeeJay Dallas at SEA-8. Penalty on DeeJay Dallas: Unsportsmanlike Conduct / Defense, 4 yards (accepted)",0.46,0.38,16.0,2023,233
3.0,3:43,1.0,10.0,SEA 4,6.0,10.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 20 yards (tackle by Elijah Molden),-0.38,0.54,16.0,2023,233
3.0,2:56,1.0,10.0,SEA 24,6.0,10.0,"Penalty on Noah Fant: False Start, 5 yards (accepted) (no play)",0.54,0.13,16.0,2023,233
3.0,2:31,1.0,15.0,SEA 19,6.0,10.0,Kenneth Walker right tackle for 1 yard (tackle by Otis Reese),0.13,-0.54,16.0,2023,233
3.0,1:58,2.0,14.0,SEA 20,6.0,10.0,"Geno Smith pass complete to Jake Bobo for no gain. Penalty on Azeez Al-Shaair: Illegal Contact, 5 yards (accepted) (no play)",-0.54,0.61,16.0,2023,233
3.0,1:28,1.0,10.0,SEA 25,6.0,10.0,Kenneth Walker right guard for 2 yards (tackle by Quinton Bohanna),0.61,0.33,16.0,2023,233
3.0,1:18,2.0,8.0,SEA 27,6.0,10.0,"Penalty on Jaleel Johnson: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.33,1.73,16.0,2023,233
3.0,0:59,1.0,10.0,SEA 42,6.0,10.0,Kenneth Walker right end for 6 yards (tackle by Elijah Molden),1.73,2.0,16.0,2023,233
3.0,0:22,2.0,4.0,SEA 48,6.0,10.0,Geno Smith pass complete deep right to Tyler Lockett for 21 yards (tackle by Tre Avery),2.0,3.51,16.0,2023,233
4.0,15:00,1.0,10.0,TEN 31,6.0,10.0,Kenneth Walker left guard for 5 yards (tackle by Roger McCreary),3.51,3.64,16.0,2023,233
4.0,14:22,2.0,5.0,TEN 26,6.0,10.0,Geno Smith pass complete short right to Kenneth Walker for 2 yards (tackle by Otis Reese),3.64,3.2,16.0,2023,233
4.0,13:35,3.0,3.0,TEN 24,6.0,10.0,Geno Smith pass complete short right to D.K. Metcalf for 12 yards (tackle by Tre Avery and Elijah Molden),3.2,4.78,16.0,2023,233
4.0,12:55,1.0,10.0,TEN 12,6.0,10.0,Kenneth Walker left end for 1 yard (tackle by Roger McCreary),4.78,4.27,16.0,2023,233
