Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA,week,year,game_id
4.0,12:27,3.0,1.0,CAR 1,14.0,34.0,"Raheem Mostert up the middle for 1 yard, touchdown",5.17,7.0,6.0,2023,83
4.0,12:23,,,CAR 15,14.0,35.0,Jason Sanders kicks extra point good,0.0,0.0,6.0,2023,83
4.0,12:23,,,MIA 35,14.0,35.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,83
4.0,12:23,1.0,10.0,CAR 25,14.0,35.0,Bryce Young pass complete short left to Jonathan Mingo for 11 yards (tackle by Kader Kohou),0.61,1.33,6.0,2023,83
4.0,11:50,1.0,10.0,CAR 36,14.0,35.0,Bryce Young sacked by Christian Wilkins for -10 yards,1.33,-0.56,6.0,2023,83
4.0,11:18,2.0,20.0,CAR 26,14.0,35.0,Bryce Young pass complete short left to Chuba Hubbard for 2 yards (tackle by Jerome Baker),-0.56,-0.96,6.0,2023,83
4.0,10:30,3.0,18.0,CAR 28,14.0,35.0,Bryce Young sacked by Zach Sieler for -11 yards,-0.96,-2.32,6.0,2023,83
4.0,9:55,4.0,29.0,CAR 17,14.0,35.0,"Johnny Hekker punts 48 yards, returned by Braxton Berrios for no gain (tackle by Matthias Farley). Penalty on Channing Tindall: Defensive Holding, 5 yards (offset) . Penalty on Johnny Hekker: Unnecessary Roughness / Offense, 15 yards (offset)",-2.32,-1.27,6.0,2023,83
4.0,9:43,1.0,10.0,MIA 35,14.0,35.0,Raheem Mostert up the middle for 13 yards (tackle by Matthias Farley),1.27,2.13,6.0,2023,83
4.0,9:08,1.0,10.0,MIA 48,14.0,35.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for -2 yards (tackle by C.J. Henderson),2.13,1.31,6.0,2023,83
4.0,8:27,2.0,12.0,MIA 46,14.0,35.0,Tua Tagovailoa pass complete short left to Salvon Ahmed for no gain (tackle by Justin Houston),1.31,0.63,6.0,2023,83
4.0,7:44,3.0,12.0,MIA 46,14.0,35.0,Tua Tagovailoa pass incomplete deep right intended for Salvon Ahmed (defended by C.J. Henderson),0.63,-0.32,6.0,2023,83
4.0,7:38,4.0,12.0,MIA 46,14.0,35.0,Jake Bailey punts 46 yards downed by Justin Bethel,-0.32,0.38,6.0,2023,83
4.0,7:27,1.0,10.0,CAR 8,14.0,35.0,Chuba Hubbard up the middle for 5 yards (tackle by Emmanuel Ogbah and David Long),-0.38,-0.41,6.0,2023,83
4.0,6:53,2.0,5.0,CAR 13,14.0,35.0,Bryce Young pass complete short right to Adam Thielen for 6 yards (tackle by Parry Nickerson),-0.41,0.15,6.0,2023,83
4.0,6:04,1.0,10.0,CAR 19,14.0,35.0,"Bryce Young sacked by Bradley Chubb for no gain. Penalty on Parry Nickerson: Defensive Holding, 5 yards (accepted) (no play)",0.15,0.54,6.0,2023,83
4.0,5:42,1.0,10.0,CAR 24,14.0,35.0,Bryce Young pass complete short left to Hayden Hurst for 16 yards (tackle by Parry Nickerson),0.54,1.6,6.0,2023,83
4.0,5:12,1.0,10.0,CAR 40,14.0,35.0,Bryce Young pass incomplete deep right intended for Adam Thielen,1.6,1.05,6.0,2023,83
4.0,5:07,2.0,10.0,CAR 40,14.0,35.0,Bryce Young pass incomplete short right intended for Adam Thielen,1.05,0.37,6.0,2023,83
4.0,5:03,3.0,10.0,CAR 40,14.0,35.0,Bryce Young pass incomplete short left intended for Terrace Marshall,0.37,-0.72,6.0,2023,83
4.0,4:57,4.0,10.0,CAR 40,14.0,35.0,Bryce Young pass incomplete short right intended for Terrace Marshall,-0.72,-2.98,6.0,2023,83
4.0,4:49,1.0,10.0,CAR 39,14.0,35.0,Chris Brooks up the middle for 4 yards (tackle by DJ Johnson and LaBryan Ray),2.98,3.05,6.0,2023,83
4.0,4:43,,,,,,Timeout #1 by Carolina Panthers,,,6.0,2023,83
4.0,4:43,2.0,5.0,CAR 35,14.0,35.0,Chris Brooks left tackle for -4 yards (tackle by Deion Jones and Sam Franklin),3.05,1.82,6.0,2023,83
4.0,4:37,,,,,,Timeout #2 by Carolina Panthers,,,6.0,2023,83
4.0,4:37,3.0,9.0,CAR 39,20.0,35.0,"Mike White pass short right intended for Salvon Ahmed is intercepted by Troy Hill at CAR-39 and returned for 61 yards, touchdown",1.82,-7.0,6.0,2023,83
4.0,4:26,,,MIA 15,21.0,35.0,Eddy Pineiro kicks extra point good,0.0,0.0,6.0,2023,83
4.0,4:26,,,CAR 35,21.0,35.0,"Eddy Pineiro kicks onside 7 yards, returned by Duke Riley for no gain",0.0,3.12,6.0,2023,83
4.0,4:25,1.0,10.0,CAR 37,21.0,35.0,Chris Brooks up the middle for no gain (tackle by Deion Jones),3.12,2.57,6.0,2023,83
4.0,4:21,,,,,,Timeout #3 by Carolina Panthers,,,6.0,2023,83
4.0,4:21,2.0,10.0,CAR 37,21.0,35.0,Chris Brooks right end for 28 yards (tackle by Kamu Grugier-Hill),2.57,5.14,6.0,2023,83
4.0,3:34,1.0,9.0,CAR 9,21.0,35.0,Chris Brooks left guard for 1 yard (tackle by Amare Barno and LaBryan Ray),5.14,4.57,6.0,2023,83
4.0,2:53,2.0,8.0,CAR 8,21.0,35.0,Chris Brooks left guard for -1 yards (tackle by Nick Thurman),4.57,3.36,6.0,2023,83
4.0,2:38,3.0,9.0,CAR 9,21.0,41.0,"Salvon Ahmed right end for 9 yards, touchdown",3.36,7.0,6.0,2023,83
4.0,2:31,,,CAR 15,21.0,42.0,Jason Sanders kicks extra point good,0.0,0.0,6.0,2023,83
4.0,2:31,,,MIA 35,21.0,42.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,83
4.0,2:31,1.0,10.0,CAR 25,21.0,42.0,Bryce Young pass complete short right to Raheem Blackshear for 4 yards (tackle by Cam Smith),0.61,0.6,6.0,2023,83
4.0,2:24,2.0,6.0,CAR 29,21.0,42.0,Raheem Blackshear left guard for 2 yards (tackle by Da'Shawn Hand and David Long),0.6,0.17,6.0,2023,83
