Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA,week,year,game_id
3.0,11:37,1.0,3.0,PHI 3,20.0,7.0,Kyren Williams left guard for 1 yard (tackle by Nakobe Dean and Cooper DeJean),6.51,5.72,12.0,2024,178
3.0,10:55,2.0,2.0,PHI 2,20.0,13.0,"Matthew Stafford pass complete short right to Demarcus Robinson for 2 yards, touchdown",5.72,7.0,12.0,2024,178
3.0,10:51,,,PHI 15,20.0,14.0,Joshua Karty kicks extra point good,0.0,0.0,12.0,2024,178
3.0,10:51,,,LAR 35,20.0,14.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,178
3.0,10:51,1.0,10.0,PHI 30,20.0,14.0,Jalen Hurts pass complete short middle to A.J. Brown for 12 yards (tackle by Darious Williams),0.94,1.73,12.0,2024,178
3.0,10:15,1.0,10.0,PHI 42,20.0,14.0,Saquon Barkley right tackle for 8 yards (tackle by Omar Speights),1.73,2.27,12.0,2024,178
3.0,9:42,2.0,2.0,PHI 50,20.0,14.0,Saquon Barkley right end for 1 yard (tackle by Kobie Turner),2.27,1.69,12.0,2024,178
3.0,9:16,3.0,1.0,LAR 49,20.0,14.0,Jalen Hurts left guard for 5 yards (tackle by Kamren Curl and Tyler Davis),1.69,2.65,12.0,2024,178
3.0,8:31,1.0,10.0,LAR 44,20.0,14.0,Jalen Hurts pass incomplete short right,2.65,2.11,12.0,2024,178
3.0,8:22,2.0,10.0,LAR 44,20.0,14.0,Kenneth Gainwell left end for no gain (tackle by Christian Rozeboom and Omar Speights),2.11,1.42,12.0,2024,178
3.0,7:37,3.0,10.0,LAR 44,20.0,14.0,"Jalen Hurts scrambles left tackle for no gain (tackle by Quentin Lake). Penalty on Cobie Durant: Illegal Contact, 5 yards (offset) . Penalty on Jordan Mailata: Offensive Holding, 10 yards (offset) (no play)",1.42,1.42,12.0,2024,178
3.0,7:10,3.0,10.0,LAR 44,20.0,14.0,Jalen Hurts pass complete short right to Saquon Barkley for 31 yards (tackle by Jaylen McCollough and Kamren Curl),1.42,4.71,12.0,2024,178
3.0,6:22,1.0,10.0,LAR 13,26.0,14.0,"Kenneth Gainwell left guard for 13 yards, touchdown",4.71,7.0,12.0,2024,178
3.0,6:17,,,LAR 15,27.0,14.0,Jake Elliott kicks extra point good,0.0,0.0,12.0,2024,178
3.0,6:17,,,PHI 35,27.0,14.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,178
3.0,6:17,1.0,10.0,LAR 30,27.0,14.0,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Isaiah Rodgers and Cooper DeJean),0.94,1.2,12.0,2024,178
3.0,5:48,2.0,4.0,LAR 36,27.0,14.0,Blake Corum left guard for 5 yards (tackle by Reed Blankenship),1.2,1.66,12.0,2024,178
3.0,5:06,1.0,10.0,LAR 41,27.0,14.0,Matthew Stafford pass incomplete short right intended for Davis Allen,1.66,1.12,12.0,2024,178
3.0,5:02,2.0,10.0,LAR 41,27.0,14.0,Matthew Stafford pass complete deep middle to Cooper Kupp for 7 yards (tackle by Zack Baun),1.12,1.36,12.0,2024,178
3.0,4:24,3.0,3.0,LAR 48,27.0,14.0,"Matthew Stafford pass complete short right to Cooper Kupp for 2 yards. Cooper Kupp fumbles, ball out of bounds at 50 (forced by C.J. Gardner-Johnson)",1.36,-0.06,12.0,2024,178
3.0,4:01,4.0,1.0,LAR 50,27.0,14.0,Matthew Stafford pass complete short left to Puka Nacua for 29 yards (tackle by Isaiah Rodgers),-0.06,4.17,12.0,2024,178
3.0,3:46,1.0,10.0,PHI 21,27.0,14.0,Matthew Stafford pass complete short right to Puka Nacua for 9 yards (tackle by Isaiah Rodgers),4.17,5.16,12.0,2024,178
