Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA,week,year,game_id
3.0,2:07,2.0,15.0,IND 13,16.0,17.0,Anthony Richardson pass complete short left to Michael Pittman for -2 yards (tackle by Michael Carter),-1.14,-2.24,11.0,2024,160
3.0,1:13,3.0,17.0,IND 11,16.0,17.0,Anthony Richardson pass incomplete short right intended for Jonathan Taylor,-2.24,-2.49,11.0,2024,160
3.0,1:08,4.0,17.0,IND 11,16.0,17.0,"Rigoberto Sanchez punts 58 yards, returned by Xavier Gipson for 10 yards (tackle by Segun Olubi and Ashton Dulin)",-2.49,-1.66,11.0,2024,160
3.0,0:57,1.0,10.0,NYJ 41,16.0,17.0,Aaron Rodgers pass complete short right to Davante Adams for 24 yards (tackle by Kenny Moore),1.66,3.25,11.0,2024,160
3.0,0:19,1.0,10.0,IND 35,16.0,17.0,Breece Hall left guard for 3 yards (tackle by Grant Stuard and DeForest Buckner),3.25,3.11,11.0,2024,160
4.0,15:00,2.0,7.0,IND 32,16.0,17.0,Aaron Rodgers pass complete short left to Davante Adams for 5 yards (tackle by E.J. Speed),3.11,3.07,11.0,2024,160
4.0,14:19,3.0,2.0,IND 27,16.0,17.0,Breece Hall right end for 16 yards (tackle by Nick Cross),3.07,4.84,11.0,2024,160
4.0,13:36,1.0,10.0,IND 11,16.0,17.0,"Penalty on Alijah Vera-Tucker: False Start, 4 yards (accepted) (no play)",4.84,4.41,11.0,2024,160
4.0,13:36,1.0,14.0,IND 15,16.0,17.0,Braelon Allen up the middle for 4 yards (tackle by Grover Stewart and E.J. Speed),4.41,4.14,11.0,2024,160
4.0,13:08,2.0,10.0,IND 11,16.0,23.0,"Aaron Rodgers pass complete short right to Kenny Yeboah for 11 yards, touchdown",4.14,7.0,11.0,2024,160
4.0,13:03,,,IND 15,16.0,24.0,Anders Carlson kicks extra point good,0.0,0.0,11.0,2024,160
4.0,13:03,,,NYJ 35,16.0,24.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,160
