Quarter,Time,Down,ToGo,Location,PHI,IND,Detail,EPB,EPA,week,year,game_id
4.0,6:54,2.0,8.0,PHI 41,10.0,13.0,Matt Ryan pass complete short left to Alec Pierce for 5 yards (tackle by Haason Reddick),2.45,2.41,11.0,2022,158
4.0,6:11,3.0,3.0,PHI 36,10.0,13.0,Matt Ryan pass complete deep right to Parris Campbell for 31 yards (tackle by C.J. Gardner-Johnson),2.41,6.06,11.0,2022,158
4.0,5:43,1.0,5.0,PHI 5,10.0,13.0,Jonathan Taylor right guard for no gain (tackle by Ndamukong Suh),6.06,5.15,11.0,2022,158
4.0,4:57,2.0,5.0,PHI 5,10.0,13.0,Matt Ryan pass incomplete short middle,5.15,4.26,11.0,2022,158
4.0,4:52,3.0,5.0,PHI 5,10.0,13.0,Matt Ryan sacked by Haason Reddick for -14 yards,4.26,2.18,11.0,2022,158
4.0,4:42,,,,,,Timeout #1 by Philadelphia Eagles,,,11.0,2022,158
4.0,4:42,4.0,19.0,PHI 19,10.0,16.0,Chase McLaughlin 37 yard field goal good,2.18,3.0,11.0,2022,158
4.0,4:37,,,IND 35,10.0,16.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,158
4.0,4:37,1.0,10.0,PHI 25,10.0,16.0,Jalen Hurts pass incomplete short right,0.61,0.06,11.0,2022,158
4.0,4:31,2.0,10.0,PHI 25,10.0,16.0,Jalen Hurts pass complete short left to A.J. Brown for 8 yards (tackle by Bobby Okereke),0.06,0.43,11.0,2022,158
4.0,3:47,3.0,2.0,PHI 33,10.0,16.0,"Jalen Hurts pass incomplete intended for Miles Sanders. Penalty on Zaire Franklin: Defensive Pass Interference, 39 yards (accepted) (no play)",0.43,3.71,11.0,2022,158
4.0,3:39,1.0,10.0,IND 28,10.0,16.0,Miles Sanders up the middle for 6 yards (tackle by Zaire Franklin),3.71,3.98,11.0,2022,158
4.0,3:13,2.0,4.0,IND 22,10.0,16.0,Miles Sanders up the middle for 5 yards (tackle by Zaire Franklin),3.98,4.44,11.0,2022,158
4.0,2:43,1.0,10.0,IND 17,10.0,16.0,Boston Scott right end for 3 yards (tackle by Julian Blackmon),4.44,4.32,11.0,2022,158
4.0,2:38,2.0,7.0,IND 14,10.0,16.0,Boston Scott left tackle for 3 yards (tackle by Grover Stewart and Zaire Franklin),4.32,4.1,11.0,2022,158
4.0,2:10,3.0,4.0,IND 11,10.0,16.0,Boston Scott for 2 yards (tackle by Dayo Odeyingbo),4.1,2.95,11.0,2022,158
4.0,2:00,,,,,,Timeout #2 by Philadelphia Eagles,,,11.0,2022,158
4.0,2:00,4.0,2.0,IND 9,10.0,16.0,Jalen Hurts up the middle for 3 yards (tackle by Rodney McLeod and Zaire Franklin),2.95,5.83,11.0,2022,158
4.0,1:35,1.0,6.0,IND 6,10.0,16.0,Miles Sanders up the middle for 2 yards (tackle by Zaire Franklin and DeForest Buckner),5.83,5.34,11.0,2022,158
