Quarter,Time,Down,ToGo,Location,ATL,LVR,Detail,EPB,EPA,week,year,game_id
4.0,5:31,4.0,5.0,LVR 24,15.0,3.0,Younghoe Koo 42 yard field goal no good,1.92,-1.07,15.0,2024,224
4.0,5:27,1.0,10.0,LVR 32,15.0,3.0,Desmond Ridder pass complete short right to Tre Tucker for 8 yards (tackle by DeAundre Alford and Arnold Ebiketie),1.07,1.61,15.0,2024,224
4.0,5:06,2.0,2.0,LVR 40,15.0,3.0,Desmond Ridder pass complete short left to Jakobi Meyers for 11 yards (tackle by Mike Hughes),1.61,2.32,15.0,2024,224
4.0,4:47,1.0,10.0,ATL 49,15.0,3.0,Desmond Ridder pass complete short left to Jakobi Meyers for 8 yards (tackle by Mike Hughes),2.32,2.86,15.0,2024,224
4.0,4:28,2.0,2.0,ATL 41,15.0,3.0,Desmond Ridder sacked by Zach Harrison for -2 yards,2.86,1.88,15.0,2024,224
4.0,3:53,3.0,4.0,ATL 43,15.0,3.0,Desmond Ridder pass complete short right to Jakobi Meyers for 7 yards (tackle by JD Bertrand),1.88,3.18,15.0,2024,224
4.0,3:33,1.0,10.0,ATL 36,15.0,3.0,Desmond Ridder pass complete short right to Terrace Marshall for 7 yards (tackle by Mike Hughes),3.18,3.58,15.0,2024,224
4.0,3:09,2.0,3.0,ATL 29,15.0,3.0,Desmond Ridder pass incomplete short left,3.58,2.87,15.0,2024,224
4.0,3:05,3.0,3.0,ATL 29,15.0,3.0,Desmond Ridder pass complete short right to Ameer Abdullah for 24 yards (tackle by Jessie Bates),2.87,6.06,15.0,2024,224
4.0,2:59,1.0,5.0,ATL 5,15.0,9.0,"Desmond Ridder pass complete short right to Ameer Abdullah for 5 yards, touchdown",6.06,7.0,15.0,2024,224
4.0,2:54,,,ATL 15,15.0,9.0,Daniel Carlson kicks extra point blocked blocked by Kevin King,0.0,-1.0,15.0,2024,224
4.0,2:54,,,LVR 35,15.0,9.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,224
4.0,2:54,1.0,10.0,ATL 30,15.0,9.0,Tyler Allgeier up the middle for 3 yards (tackle by Divine Deablo),0.94,0.8,15.0,2024,224
4.0,2:50,,,,,,Timeout #1 by Las Vegas Raiders,,,15.0,2024,224
4.0,2:50,2.0,7.0,ATL 33,15.0,9.0,Tyler Allgeier up the middle for 3 yards (tackle by John Jenkins and Robert Spillane),0.8,0.5,15.0,2024,224
4.0,2:44,,,,,,Timeout #2 by Las Vegas Raiders,,,15.0,2024,224
4.0,2:44,3.0,4.0,ATL 36,15.0,9.0,"Kirk Cousins pass incomplete short middle intended for Kyle Pitts. Penalty on Robert Spillane: Roughing the Passer, 15 yards (accepted) (no play)",0.5,2.32,15.0,2024,224
4.0,2:40,1.0,10.0,LVR 49,15.0,9.0,Bijan Robinson left tackle for 1 yard (tackle by John Jenkins and K'Lavon Chaisson),2.32,1.92,15.0,2024,224
4.0,2:33,,,,,,Timeout #3 by Las Vegas Raiders,,,15.0,2024,224
