Quarter,Time,Down,ToGo,Location,SFO,MIN,Detail,EPB,EPA,week,year,game_id
4.0,3:42,2.0,10.0,SFO 10,14.0,20.0,Sam Darnold pass complete short right to Aaron Jones for -2 yards (tackle by De'Vondre Campbell),4.19,3.1,2.0,2024,23
4.0,3:35,,,,,,Timeout #2 by San Francisco 49ers,,,2.0,2024,23
4.0,3:35,3.0,12.0,SFO 12,14.0,20.0,Aaron Jones up the middle for 4 yards (tackle by Demetrius Flannigan-Fowles and Javon Hargrave),3.1,2.95,2.0,2024,23
4.0,3:32,,,,,,Timeout #3 by San Francisco 49ers,,,2.0,2024,23
4.0,3:32,4.0,8.0,SFO 8,14.0,23.0,Will Reichard 27 yard field goal good,2.95,3.0,2.0,2024,23
4.0,3:30,,,MIN 35,14.0,23.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,23
4.0,3:30,1.0,10.0,SFO 30,14.0,23.0,Brock Purdy pass complete short right to George Kittle for 6 yards (tackle by Byron Murphy),0.94,1.2,2.0,2024,23
4.0,3:23,2.0,4.0,SFO 36,14.0,23.0,Brock Purdy pass complete short left to Jordan Mason for 4 yards (tackle by Andrew Van Ginkel),1.2,1.6,2.0,2024,23
4.0,2:59,1.0,10.0,SFO 40,14.0,23.0,Brock Purdy pass complete deep right to Deebo Samuel for 21 yards (tackle by Josh Metellus and Camryn Bynum),1.6,2.98,2.0,2024,23
4.0,2:39,1.0,10.0,MIN 39,14.0,23.0,Brock Purdy pass complete short left to Eric Saubert for 12 yards (tackle by Byron Murphy and Camryn Bynum),2.98,3.78,2.0,2024,23
4.0,2:21,1.0,10.0,MIN 27,14.0,23.0,"Brock Purdy pass complete short middle to Eric Saubert for 14 yards (tackle by Harrison Smith). Penalty on Andrew Van Ginkel: Defensive Offside, 5 yards (declined)",3.78,4.71,2.0,2024,23
4.0,2:15,1.0,10.0,MIN 13,14.0,23.0,Brock Purdy pass complete short right to Deebo Samuel for 2 yards (tackle by Byron Murphy),4.71,4.39,2.0,2024,23
4.0,2:01,2.0,8.0,MIN 11,14.0,23.0,"Penalty on Colton McKivitz: False Start, 5 yards (accepted) (no play)",4.39,3.62,2.0,2024,23
4.0,2:01,2.0,13.0,MIN 16,14.0,23.0,Brock Purdy pass complete short left to Brandon Aiyuk for 12 yards (tackle by Harrison Smith),3.62,5.01,2.0,2024,23
4.0,1:57,3.0,1.0,MIN 4,14.0,23.0,Deebo Samuel right end for -9 yards (tackle by Andrew Van Ginkel),5.01,2.57,2.0,2024,23
4.0,1:15,4.0,10.0,MIN 13,17.0,23.0,Jake Moody 31 yard field goal good,2.57,3.0,2.0,2024,23
4.0,1:12,,,,,,Timeout #2 by Minnesota Vikings,,,2.0,2024,23
4.0,1:12,,,SFO 35,17.0,23.0,"Mitch Wishnowsky kicks onside 7 yards, returned by Nick Muse for no gain",0.0,2.79,2.0,2024,23
4.0,1:11,1.0,10.0,SFO 42,17.0,23.0,Sam Darnold kneels for -1 yards,2.79,2.11,2.0,2024,23
4.0,0:41,2.0,11.0,SFO 43,17.0,23.0,Sam Darnold kneels for -1 yards,2.11,1.29,2.0,2024,23
