Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA,week,year,game_id
3.0,11:40,2.0,10.0,CIN 9,7.0,24.0,"Joe Burrow sacked by David Ojabo for -5 yards. Joe Burrow fumbles (forced by David Ojabo), recovered by Patrick Queen at CIN-9 (tackle by David Ojabo)",-0.78,-5.14,18.0,2022,259
3.0,11:26,1.0,9.0,CIN 9,7.0,24.0,Kenyan Drake left tackle for 1 yard (tackle by Germaine Pratt and Zachary Carter),5.14,4.57,18.0,2022,259
3.0,10:48,2.0,8.0,CIN 8,7.0,24.0,Anthony Brown pass incomplete short middle intended for Demarcus Robinson (defended by Cam Taylor-Britt),4.57,3.58,18.0,2022,259
3.0,10:42,3.0,8.0,CIN 8,7.0,24.0,Anthony Brown pass incomplete short middle intended for Charlie Kolar,3.58,2.95,18.0,2022,259
3.0,10:37,4.0,8.0,CIN 8,10.0,24.0,Justin Tucker 26 yard field goal good,2.95,3.0,18.0,2022,259
3.0,10:34,,,BAL 35,10.0,24.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,259
3.0,10:34,1.0,10.0,CIN 25,10.0,24.0,Joe Mixon left tackle for 2 yards (tackle by Justin Madubuike),0.61,0.33,18.0,2022,259
3.0,10:00,2.0,8.0,CIN 27,10.0,24.0,Joe Burrow pass complete short right to Joe Mixon for 33 yards (tackle by Chuck Clark),0.33,2.92,18.0,2022,259
3.0,9:20,1.0,10.0,BAL 40,10.0,24.0,Joe Burrow pass complete deep left to Ja'Marr Chase for 20 yards (tackle by Marlon Humphrey),2.92,4.24,18.0,2022,259
3.0,8:42,1.0,10.0,BAL 20,10.0,24.0,Samaje Perine left guard for 2 yards (tackle by Roquan Smith),4.24,3.96,18.0,2022,259
3.0,7:59,2.0,8.0,BAL 18,10.0,24.0,"Joe Burrow pass incomplete short middle intended for Hayden Hurst. Penalty on Patrick Queen: Defensive Pass Interference, 2 yards (accepted) (no play)",3.96,4.51,18.0,2022,259
