Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA,week,year,game_id
3.0,3:55,2.0,11.0,MIA 11,14.0,14.0,Josh Allen pass incomplete intended for Gabriel Davis (defended by Keion Crossen),4.02,3.12,3.0,2022,34
3.0,3:50,3.0,11.0,MIA 11,14.0,14.0,Josh Allen pass incomplete short right,3.12,2.7,3.0,2022,34
3.0,3:43,4.0,11.0,MIA 11,17.0,14.0,Tyler Bass 30 yard field goal good,2.7,3.0,3.0,2022,34
3.0,3:40,,,BUF 35,17.0,14.0,"Tyler Bass kicks off 64 yards, returned by Raheem Mostert for 23 yards (tackle by Tyler Matakevich and Tyrel Dodson)",0.0,0.54,3.0,2022,34
3.0,3:34,1.0,10.0,MIA 24,17.0,14.0,Tua Tagovailoa pass complete short left to Chase Edmonds for 6 yards (tackle by Taron Johnson),0.54,0.81,3.0,2022,34
3.0,2:58,2.0,4.0,MIA 30,17.0,14.0,Chase Edmonds up the middle for 2 yards (tackle by Taron Johnson),0.81,0.37,3.0,2022,34
3.0,2:12,3.0,2.0,MIA 32,17.0,14.0,"Tua Tagovailoa pass incomplete short right intended for Tyreek Hill (defended by Matt Milano). Penalty on Tyreek Hill: Illegal Shift, 5 yards (declined)",0.37,-1.24,3.0,2022,34
3.0,2:12,4.0,2.0,MIA 32,17.0,14.0,"Thomas Morstead punts 60 yards, recovered by Jamison Crowder at BUF-8 and returned for 12 yards (tackle by Trent Sherfield and Andrew Van Ginkel)",-1.24,-0.28,3.0,2022,34
3.0,2:00,1.0,10.0,BUF 20,17.0,14.0,Zack Moss right end for 43 yards (tackle by Jevon Holland),0.28,3.12,3.0,2022,34
3.0,1:14,,,,,,Timeout #1 by Buffalo Bills,,,3.0,2022,34
3.0,1:14,1.0,10.0,MIA 37,17.0,14.0,Josh Allen scrambles up the middle for 11 yards (tackle by Jerome Baker),3.12,3.84,3.0,2022,34
3.0,0:35,1.0,10.0,MIA 26,17.0,14.0,Zack Moss up the middle for 1 yard (tackle by Jerome Baker),3.84,3.43,3.0,2022,34
4.0,15:00,2.0,9.0,MIA 25,17.0,14.0,Josh Allen pass incomplete short middle intended for Isaiah McKenzie,3.43,2.74,3.0,2022,34
4.0,14:56,3.0,9.0,MIA 25,17.0,14.0,Josh Allen pass complete short right to Dawson Knox for 5 yards (tackle by Eric Rowe),2.74,2.2,3.0,2022,34
4.0,14:12,4.0,4.0,MIA 20,17.0,14.0,Tyler Bass 38 yard field goal no good blocked by Emmanuel Ogbah,2.2,-0.81,3.0,2022,34
4.0,14:09,1.0,10.0,MIA 28,17.0,14.0,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 32 yards (tackle by Ja'Marcus Ingram),0.81,2.92,3.0,2022,34
4.0,13:15,1.0,10.0,BUF 40,17.0,14.0,"Tua Tagovailoa pass complete to Tyreek Hill for 8 yards. Penalty on Greg Little: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.92,2.59,3.0,2022,34
4.0,13:03,1.0,15.0,BUF 45,17.0,14.0,Tua Tagovailoa sacked by and Damar Hamlin for -7 yards and Gregory Rousseau for -7 yards,2.59,0.75,3.0,2022,34
4.0,12:11,2.0,22.0,MIA 48,17.0,14.0,Raheem Mostert up the middle for no gain (tackle by Matt Milano),0.75,0.1,3.0,2022,34
4.0,11:37,3.0,22.0,MIA 48,17.0,14.0,Tua Tagovailoa pass complete deep middle to Jaylen Waddle for 45 yards (tackle by Damar Hamlin),0.1,5.6,3.0,2022,34
4.0,10:49,,,,,,Timeout #1 by Miami Dolphins,,,3.0,2022,34
4.0,10:49,1.0,7.0,BUF 7,17.0,14.0,Raheem Mostert right guard for 2 yards (tackle by Matt Milano and Ja'Marcus Ingram),5.6,5.15,3.0,2022,34
4.0,10:12,,,,,,Timeout #2 by Miami Dolphins,,,3.0,2022,34
4.0,10:12,2.0,5.0,BUF 5,17.0,14.0,"Tua Tagovailoa pass incomplete short middle intended for Chase Edmonds. Penalty on Jaquan Johnson: Unnecessary Roughness / Defense, 2 yards (accepted) (no play)",5.15,6.51,3.0,2022,34
4.0,10:08,1.0,3.0,BUF 3,17.0,20.0,"Chase Edmonds up the middle for 3 yards, touchdown",6.51,7.0,3.0,2022,34
4.0,10:05,,,BUF 15,17.0,21.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2022,34
4.0,10:05,,,MIA 35,17.0,21.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,34
4.0,10:05,1.0,10.0,BUF 25,17.0,21.0,Devin Singletary right end for 6 yards (tackle by Christian Wilkins),0.61,0.87,3.0,2022,34
4.0,9:28,2.0,4.0,BUF 31,17.0,21.0,Josh Allen pass complete short left to Stefon Diggs for 6 yards (tackle by Xavien Howard),0.87,1.4,3.0,2022,34
4.0,8:54,1.0,10.0,BUF 37,17.0,21.0,Josh Allen sacked by and Jevon Holland for -1 yards and Jerome Baker for -1 yards,1.4,0.72,3.0,2022,34
4.0,8:41,2.0,11.0,BUF 36,17.0,21.0,"Penalty on Josh Allen: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",0.72,-1.3,3.0,2022,34
4.0,8:41,2.0,26.0,BUF 21,17.0,21.0,Josh Allen pass complete short middle to Stefon Diggs for 16 yards (tackle by Jevon Holland),-1.3,0.17,3.0,2022,34
4.0,7:47,3.0,10.0,BUF 37,17.0,21.0,Josh Allen pass complete short right to Devin Singletary for 22 yards (tackle by Jevon Holland),0.17,2.85,3.0,2022,34
4.0,7:15,1.0,10.0,MIA 41,17.0,21.0,Devin Singletary up the middle for -2 yards (tackle by Jerome Baker and Christian Wilkins),2.85,2.04,3.0,2022,34
4.0,6:36,2.0,12.0,MIA 43,17.0,21.0,Josh Allen pass complete short right to James Cook for 9 yards (tackle by Brandon Jones and Jerome Baker),2.04,2.54,3.0,2022,34
4.0,5:52,3.0,3.0,MIA 34,17.0,21.0,Josh Allen pass complete short left to Zack Moss for 6 yards (tackle by Xavien Howard and Jerome Baker),2.54,3.71,3.0,2022,34
4.0,5:05,1.0,10.0,MIA 28,17.0,21.0,"Penalty on Melvin Ingram: Defensive Offside, 5 yards (accepted) (no play)",3.71,4.44,3.0,2022,34
4.0,4:46,1.0,5.0,MIA 23,17.0,21.0,Josh Allen pass incomplete short right intended for Reggie Gilliam (defended by Jevon Holland),4.44,3.84,3.0,2022,34
4.0,4:41,2.0,5.0,MIA 23,17.0,21.0,Josh Allen pass incomplete intended for Devin Singletary (defended by Jaelan Phillips),3.84,3.14,3.0,2022,34
4.0,4:37,3.0,5.0,MIA 23,17.0,21.0,Josh Allen scrambles up the middle for 8 yards (tackle by Xavien Howard),3.14,4.58,3.0,2022,34
4.0,3:57,1.0,10.0,MIA 15,17.0,21.0,Josh Allen pass complete short middle to James Cook for 9 yards (tackle by Elandon Roberts),4.58,5.6,3.0,2022,34
4.0,3:15,2.0,1.0,MIA 6,17.0,21.0,Devin Singletary up the middle for 4 yards (tackle by Christian Wilkins),5.6,6.74,3.0,2022,34
4.0,2:36,1.0,2.0,MIA 2,17.0,21.0,Devin Singletary up the middle for 1 yard (tackle by Elandon Roberts and John Jenkins),6.74,5.91,3.0,2022,34
4.0,2:00,2.0,1.0,MIA 1,17.0,21.0,Josh Allen for -1 yards (tackle by Elandon Roberts and Jerome Baker),5.91,4.95,3.0,2022,34
4.0,1:55,,,,,,Timeout #3 by Miami Dolphins,,,3.0,2022,34
4.0,1:55,3.0,2.0,MIA 2,17.0,21.0,Josh Allen pass incomplete short middle intended for Stefon Diggs (defended by Xavien Howard),4.95,3.25,3.0,2022,34
4.0,1:49,4.0,2.0,MIA 2,17.0,21.0,Josh Allen pass incomplete short right intended for Isaiah McKenzie,3.25,0.38,3.0,2022,34
4.0,1:46,1.0,10.0,MIA 2,17.0,21.0,Raheem Mostert left tackle for -1 yards (tackle by Gregory Rousseau),-0.38,-0.85,3.0,2022,34
4.0,1:43,,,,,,Timeout #2 by Buffalo Bills,,,3.0,2022,34
4.0,1:43,2.0,11.0,MIA 1,17.0,21.0,Tua Tagovailoa up the middle for no gain (tackle by DaQuan Jones and Tremaine Edmunds),-0.85,-1.54,3.0,2022,34
4.0,1:40,,,,,,Timeout #3 by Buffalo Bills,,,3.0,2022,34
4.0,1:40,3.0,11.0,MIA 1,17.0,21.0,Tua Tagovailoa pass incomplete short right intended for Raheem Mostert,-1.54,-2.49,3.0,2022,34
4.0,1:37,4.0,11.0,MIA 1,19.0,21.0,Thomas Morstead punts,-2.49,-2.0,3.0,2022,34
4.0,1:33,,,MIA 20,19.0,21.0,"Thomas Morstead kicks off 74 yards, returned by Jamison Crowder for 17 yards (tackle by Andrew Van Ginkel)",0.0,0.48,3.0,2022,34
4.0,1:25,1.0,10.0,BUF 23,19.0,21.0,Josh Allen pass incomplete deep right intended for Stefon Diggs (defended by Jevon Holland),0.48,-0.07,3.0,2022,34
4.0,1:20,2.0,10.0,BUF 23,19.0,21.0,Josh Allen pass complete deep middle to Gabriel Davis for 18 yards (tackle by Brandon Jones),-0.07,1.66,3.0,2022,34
4.0,0:56,1.0,10.0,BUF 41,19.0,21.0,Josh Allen pass incomplete deep left intended for Gabriel Davis (defended by Nik Needham),1.66,1.12,3.0,2022,34
