Quarter,Time,Down,ToGo,Location,PHI,NOR,Detail,EPB,EPA,week,year,game_id
4.0,6:02,2.0,6.0,PHI 46,7.0,6.0,Alvin Kamara left guard for 2 yards (tackle by Jalen Carter),2.25,1.82,3.0,2024,39
4.0,5:24,3.0,4.0,PHI 44,7.0,6.0,Alvin Kamara right end for 5 yards (tackle by C.J. Gardner-Johnson),1.82,2.98,3.0,2024,39
4.0,5:19,1.0,10.0,PHI 39,7.0,6.0,"Penalty on Trevor Penning: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",2.98,1.99,3.0,2024,39
4.0,5:00,1.0,10.0,NOR 46,7.0,6.0,Derek Carr pass incomplete short right intended for Jamaal Williams (defended by Thomas Booker),1.99,1.45,3.0,2024,39
4.0,4:55,,,,,,Timeout #2 by New Orleans Saints,,,3.0,2024,39
4.0,4:55,2.0,10.0,NOR 46,7.0,6.0,Derek Carr pass complete deep middle to Chris Olave for 29 yards (tackle by Kelee Ringo),1.45,3.91,3.0,2024,39
4.0,4:22,1.0,10.0,PHI 25,7.0,6.0,Alvin Kamara right guard for 4 yards (tackle by Zack Baun and Josh Sweat),3.91,3.9,3.0,2024,39
4.0,3:37,2.0,6.0,PHI 21,7.0,6.0,Alvin Kamara left tackle for 9 yards (tackle by Avonte Maddox),3.9,4.78,3.0,2024,39
4.0,2:53,1.0,10.0,PHI 12,7.0,6.0,Jamaal Williams right tackle for -1 yards (tackle by Milton Williams and Zack Baun),4.78,3.94,3.0,2024,39
4.0,2:10,2.0,11.0,PHI 13,7.0,12.0,"Derek Carr pass complete short left to Chris Olave for 13 yards, touchdown",3.94,7.0,3.0,2024,39
4.0,2:03,,,PHI 2,7.0,12.0,Two Point Attempt: Derek Carr pass incomplete intended for to Jamaal Williams for no gain,1.0,-1.0,3.0,2024,39
4.0,2:03,,,NOR 35,7.0,12.0,"Blake Grupe kicks off 63 yards, returned by Kenneth Gainwell for 29 yards (tackle by Willie Gay and Jordan Mims)",0.0,1.0,3.0,2024,39
4.0,1:58,1.0,10.0,PHI 31,7.0,12.0,Jalen Hurts pass complete short left to Jahan Dotson for 5 yards (tackle by Tyrann Mathieu),1.0,1.14,3.0,2024,39
4.0,1:34,2.0,5.0,PHI 36,7.0,12.0,"Jalen Hurts pass complete short right to Parris Campbell for no gain (tackle by Willie Gay). Penalty on Alontae Taylor: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.14,1.66,3.0,2024,39
4.0,1:27,1.0,10.0,PHI 41,7.0,12.0,Jalen Hurts sacked by Bryan Bresee for -6 yards,1.66,0.31,3.0,2024,39
4.0,1:21,,,,,,Timeout #1 by Philadelphia Eagles,,,3.0,2024,39
4.0,1:21,2.0,16.0,PHI 35,7.0,12.0,Jalen Hurts pass incomplete deep left intended for Johnny Wilson (defended by Alontae Taylor),0.31,-0.36,3.0,2024,39
4.0,1:16,3.0,16.0,PHI 35,7.0,12.0,Jalen Hurts pass complete short left to Dallas Goedert for 61 yards (tackle by Paulson Adebo),-0.36,6.28,3.0,2024,39
4.0,1:05,,,,,,Timeout #2 by Philadelphia Eagles,,,3.0,2024,39
4.0,1:05,1.0,4.0,NOR 4,13.0,12.0,"Saquon Barkley right guard for 4 yards, touchdown",6.28,7.0,3.0,2024,39
4.0,1:01,,,NOR 2,15.0,12.0,"Two Point Attempt: Saquon Barkley rushes, conversion succeeds.",1.0,1.0,3.0,2024,39
4.0,1:01,,,PHI 35,15.0,12.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,39
4.0,1:01,1.0,10.0,NOR 30,15.0,12.0,Derek Carr pass complete short left to Mason Tipton for 6 yards (tackle by Quinyon Mitchell),0.94,1.2,3.0,2024,39
4.0,0:55,2.0,4.0,NOR 36,15.0,12.0,"Derek Carr pass deep middle intended for Rashid Shaheed is intercepted by Reed Blankenship at PHI-41 and returned for no gain (tackle by Chris Olave) Replay Assistant challenged the pass interception ruling, and the play was upheld.",1.2,-1.66,3.0,2024,39
4.0,0:48,1.0,10.0,PHI 41,15.0,12.0,Jalen Hurts kneels for -2 yards,1.66,0.85,3.0,2024,39
4.0,0:47,,,,,,Timeout #3 by New Orleans Saints,,,3.0,2024,39
4.0,0:47,2.0,12.0,PHI 39,15.0,12.0,Jalen Hurts kneels for -1 yards,0.85,0.04,3.0,2024,39
4.0,0:24,3.0,13.0,PHI 38,15.0,12.0,Jalen Hurts kneels for -1 yards,0.04,-0.91,3.0,2024,39
