Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA,week,year,game_id
4.0,11:12,4.0,11.0,NYG 24,12.0,23.0,"Jamie Gillan punts 58 yards, returned by Ray-Ray McCloud for 12 yards (tackle by Darnay Holmes)",-1.77,-0.94,3.0,2023,33
4.0,11:00,1.0,10.0,SFO 30,12.0,23.0,Brock Purdy pass complete short middle to Deebo Samuel for 19 yards (tackle by Adoree' Jackson and Bobby Okereke),0.94,2.19,3.0,2023,33
4.0,10:20,1.0,10.0,SFO 49,12.0,23.0,Brock Purdy pass complete short right to George Kittle for 8 yards (tackle by Jason Pinnock),2.19,2.73,3.0,2023,33
4.0,9:37,2.0,2.0,NYG 43,12.0,23.0,Kyle Juszczyk up the middle for 3 yards (tackle by Micah McFadden and Tre Hawkins),2.73,2.92,3.0,2023,33
4.0,8:56,1.0,10.0,NYG 40,12.0,23.0,Christian McCaffrey right tackle for 4 yards (tackle by Jason Pinnock and Tre Hawkins),2.92,2.91,3.0,2023,33
4.0,8:15,2.0,6.0,NYG 36,12.0,23.0,Christian McCaffrey left guard for 4 yards (tackle by Dexter Lawrence),2.91,2.74,3.0,2023,33
4.0,7:31,3.0,2.0,NYG 32,12.0,23.0,Brock Purdy pass complete short left to Christian McCaffrey for 2 yards (tackle by Adoree' Jackson),2.74,3.58,3.0,2023,33
4.0,6:51,1.0,10.0,NYG 30,12.0,23.0,Christian McCaffrey left guard for 3 yards (tackle by Dexter Lawrence and Tre Hawkins),3.58,3.44,3.0,2023,33
4.0,6:05,2.0,7.0,NYG 27,12.0,29.0,"Brock Purdy pass complete deep right to Deebo Samuel for 27 yards, touchdown",3.44,7.0,3.0,2023,33
4.0,5:58,,,NYG 15,12.0,30.0,Jake Moody kicks extra point good,0.0,0.0,3.0,2023,33
4.0,5:58,,,SFO 35,12.0,30.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,33
4.0,5:58,1.0,10.0,NYG 25,12.0,30.0,Daniel Jones pass incomplete short right intended for Darius Slayton (defended by Charvarius Ward),0.61,0.06,3.0,2023,33
4.0,5:53,2.0,10.0,NYG 25,12.0,30.0,"Daniel Jones pass complete short right to Darius Slayton for 3 yards (tackle by Charvarius Ward). Penalty on Dre Greenlaw: Unnecessary Roughness / Defense, 15 yards (accepted)",0.06,1.8,3.0,2023,33
4.0,5:33,1.0,10.0,NYG 43,12.0,30.0,Daniel Jones pass complete short right to Darius Slayton for 12 yards (tackle by Charvarius Ward),1.8,2.59,3.0,2023,33
4.0,4:56,1.0,10.0,SFO 45,12.0,30.0,Daniel Jones pass complete short right to Matt Breida for 2 yards (tackle by Oren Burks),2.59,2.31,3.0,2023,33
4.0,4:26,2.0,8.0,SFO 43,12.0,30.0,Daniel Jones pass complete short right to Matt Breida for -9 yards (tackle by Oren Burks),2.31,0.43,3.0,2023,33
4.0,3:49,3.0,17.0,NYG 48,12.0,30.0,Daniel Jones pass short right (defended by Charvarius Ward) intended for Darren Waller is intercepted by Talanoa Hufanga at SF-40 and returned for 8 yards (tackle by Matt Breida),0.43,-2.13,3.0,2023,33
4.0,3:39,1.0,10.0,SFO 48,12.0,30.0,Elijah Mitchell up the middle for 2 yards (tackle by A'Shawn Robinson and Dexter Lawrence),2.13,1.85,3.0,2023,33
4.0,3:35,,,,,,Timeout #1 by New York Giants,,,3.0,2023,33
4.0,3:35,2.0,8.0,SFO 50,12.0,30.0,Elijah Mitchell left end for 3 yards (tackle by Tre Hawkins),1.85,1.55,3.0,2023,33
4.0,3:30,,,,,,Timeout #2 by New York Giants,,,3.0,2023,33
4.0,3:30,3.0,5.0,NYG 47,12.0,30.0,Elijah Mitchell for 3 yards (tackle by Dexter Lawrence),1.55,0.33,3.0,2023,33
4.0,3:25,,,,,,Timeout #3 by New York Giants,,,3.0,2023,33
4.0,3:25,4.0,2.0,NYG 44,12.0,30.0,Mitch Wishnowsky punts 39 yards out of bounds,0.33,0.38,3.0,2023,33
4.0,3:18,1.0,10.0,NYG 5,12.0,30.0,Gary Brightwell up the middle for 2 yards (tackle by Isaiah Oliver),-0.38,-0.63,3.0,2023,33
4.0,2:54,2.0,8.0,NYG 7,12.0,30.0,Tyrod Taylor scrambles up the middle for 2 yards (tackle by Clelin Ferrell),-0.63,-0.95,3.0,2023,33
